,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,label
197,0.730411,0.106152,0.017418,0.030745,0.033341,0.02678,0.010524,0.004597,happiness
198,0.723353,0.095647,0.016322,0.029856,0.032379,0.025877,0.009541,0.004648,happiness
199,0.770004,0.102737,0.024679,0.02759,0.033947,0.024906,0.011743,0.005063,happiness
200,0.714799,0.165105,0.045004,0.029025,0.043744,0.045264,0.012974,0.006166,happiness
201,0.664,0.147259,0.043298,0.032877,0.04912,0.045663,0.012857,0.006267,happiness
202,0.593283,0.148445,0.043343,0.024325,0.048487,0.044804,0.0132,0.005303,happiness
203,0.555726,0.144914,0.045123,0.023764,0.047998,0.045349,0.013919,0.006709,happiness
204,0.518618,0.126362,0.035679,0.013139,0.040943,0.037578,0.012011,0.005664,happiness
205,0.543376,0.146862,0.037204,0.014976,0.042243,0.040264,0.014125,0.006616,happiness
206,0.706168,0.151605,0.042888,0.014947,0.04308,0.038253,0.01229,0.006538,happiness
207,0.770748,0.152141,0.043486,0.015815,0.043543,0.038414,0.012207,0.00608,happiness
208,0.805491,0.163743,0.045384,0.017889,0.046716,0.039791,0.013662,0.007048,happiness
209,0.847965,0.158517,0.037994,0.018337,0.044767,0.038416,0.011693,0.00695,happiness
210,0.995919,0.100737,0.018952,0.018053,0.036768,0.01651,0.009803,0.006077,happiness
211,1.108143,0.104325,0.024674,0.018696,0.033726,0.016161,0.010346,0.008761,happiness
212,1.183965,0.110045,0.032215,0.019553,0.035814,0.019666,0.010544,0.00938,happiness
213,1.369083,0.160683,0.036937,0.029023,0.048255,0.039215,0.015088,0.010803,happiness
214,1.46007,0.197654,0.039442,0.03193,0.049502,0.042971,0.016832,0.011769,happiness
215,1.31848,0.172243,0.037582,0.02983,0.0481,0.040116,0.014823,0.010678,happiness
216,1.161843,0.172339,0.032509,0.032992,0.04536,0.041678,0.015711,0.011162,happiness
217,1.093268,0.171553,0.032285,0.032174,0.044473,0.041202,0.015672,0.011212,happiness
218,1.042349,0.169373,0.035174,0.039941,0.042827,0.042958,0.014907,0.010205,happiness
219,0.921207,0.173362,0.035265,0.039299,0.042836,0.043344,0.01487,0.009939,happiness
220,0.772693,0.170254,0.038477,0.045534,0.037383,0.044206,0.015044,0.009921,happiness
221,0.655881,0.165717,0.039968,0.04603,0.041443,0.042496,0.015543,0.007157,happiness
222,0.503818,0.156731,0.033794,0.044395,0.036476,0.042387,0.015144,0.006914,happiness
223,0.285626,0.091509,0.027963,0.035317,0.025141,0.023706,0.00972,0.005166,happiness
224,0.345296,0.066568,0.025615,0.034808,0.026313,0.021349,0.008883,0.004771,happiness
225,0.386303,0.06636,0.026196,0.036777,0.028592,0.024221,0.008915,0.004953,happiness
226,0.377983,0.058709,0.025463,0.032947,0.027033,0.021802,0.007702,0.004011,happiness
